# ----------------------------------------
# iRozhlas
# Queries
# 20190429-20190505
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
desetikoruna 1993,"4,143","15,352",26.99%,2.8
10 kč 1993,"1,895","6,299",30.08%,4.3
zprávy,656,"12,725",5.16%,3.0
vzácná desetikoruna,642,"3,173",20.23%,2.8
karel gott charlotte ella gottová,582,"15,165",3.84%,4.8
rozhlas,539,"2,541",21.21%,3.9
vzácné mince,454,"1,517",29.93%,1.0
desetikoruna z roku 1993,404,"1,848",21.86%,2.7
mince 10 kč,404,847,47.70%,1.5
vzácná desetikoruna 1993,361,"8,496",4.25%,4.2
karel gott,349,"24,155",1.44%,5.1
mince 10 kč 1993,340,669,50.82%,1.7
10 koruna 1993,337,"1,755",19.20%,4.2
živé terče,327,"8,014",4.08%,7.4
pavol kováčik,318,"2,161",14.72%,1.6
vzácné desetikoruny,316,854,37.00%,2.4
suchoj superjet 100,294,"2,849",10.32%,3.9
desetikoruna,275,"1,224",22.47%,3.1
mol cup finale 2019,275,713,38.57%,1.5
i rozhlas,253,293,86.35%,1.1
josef šural,251,"24,087",1.04%,7.7
smrt fotbalisty,241,847,28.45%,2.0
pražský maraton,238,"5,278",4.51%,2.5
srdce nehasnou,231,"5,919",3.90%,6.9
vzácná 10 kč,224,617,36.30%,2.0
vzácné české mince,224,697,32.14%,1.1
charlotte ella gottová,213,"35,364",0.60%,6.6
eurovolby 2019,208,"2,175",9.56%,2.9
vzacne 10kc,200,389,51.41%,1.2
karel gott srdce nehasnou,184,"5,337",3.45%,5.0
czarotek 2019,182,661,27.53%,1.6
finale mol cup,174,573,30.37%,2.7
eurovolby,170,"1,531",11.10%,4.4
volby do evropského parlamentu 2019,158,"10,322",1.53%,6.2
finále mol cup 2019,144,599,24.04%,2.6
vzácné mince v oběhu,140,372,37.63%,1.1
brexit,133,"1,607",8.28%,5.6
josef šural smrt,133,"2,241",5.93%,5.7
desetikoruna 2000,130,573,22.69%,2.6
sural smrt,130,"1,535",8.47%,4.6
šural smrt,128,"1,394",9.18%,5.8
demonstrace brno,122,461,26.46%,1.9
ano vytrollíme europarlament,118,293,40.27%,1.2
10kc 1993,115,"1,300",8.85%,7.3
vigantol,114,"2,114",5.39%,7.1
10 kč z roku 1993,113,251,45.02%,2.3
vzacna desetikoruna,111,565,19.65%,3.2
desetikoruny 1993,108,485,22.27%,3.1
šural,107,"16,525",0.65%,8.8
letadlo moskva,104,207,50.24%,1.1
izurnal,103,124,83.06%,1.0
cenné desetikoruny,99,117,84.62%,1.0
vadná desetikoruna,99,"1,256",7.88%,4.5
josef sural smrt,98,"2,102",4.66%,6.9
třetí pohlaví,98,422,23.22%,2.0
vzacna 10kc 1993,98,"3,011",3.25%,7.9
cenná desetikoruna,97,279,34.77%,2.4
finále mol cup 2019 stadion,96,253,37.94%,2.7
fireflies,95,529,17.96%,2.4
mince 1993,91,145,62.76%,1.4
vzácné 10 koruny,91,133,68.42%,1.1
zive terce,90,"1,911",4.71%,7.0
zprávy z domova,90,938,9.59%,3.9
podolí,89,"1,140",7.81%,4.4
řepka do vězení,88,618,14.24%,4.2
suchoj superjet,88,"1,100",8.00%,4.5
aktip,87,511,17.03%,3.8
josef sural,84,"4,013",2.09%,11
ropovod družba,82,"1,333",6.15%,3.3
vzacna 20kc,81,782,10.36%,3.0
vzacne mince,81,336,24.11%,2.8
brno demonstrace,78,241,32.37%,1.7
karel havlíček,78,"1,164",6.70%,3.9
zeman stařenka,78,190,41.05%,2.1
10 kč 1993 prodej,76,"1,126",6.75%,9.3
bioparox,76,280,27.14%,4.2
jaromír jágr,76,"1,149",6.61%,3.6
alice seidlová,75,468,16.03%,1.5
pankrac servac bonifac,75,"1,002",7.49%,4.1
sural,74,"2,967",2.49%,11
nejoblíbenější jména,73,198,36.87%,1.1
nejvyšší budova světa,73,504,14.48%,1.2
vzácná mince 10 kč,73,118,61.86%,1.0
notre dame,72,"1,493",4.82%,1.6
alice seidlova,71,332,21.39%,1.7
pohresovany chlapec podoli,71,253,28.06%,1.3
mince z roku 1993,70,116,60.34%,1.1
podoli,70,521,13.44%,3.8
dominik feri,69,928,7.44%,5.1
venezuela,68,"4,262",1.60%,7.0
česká desetikoruna,67,127,52.76%,2.1
moskva letadlo,67,171,39.18%,1.2
eva stories,66,160,41.25%,3.7
karel gott a charlotte,66,"1,135",5.81%,4.5
kde se bude hrát finále mol cup,66,150,44.00%,1.1
kandidáti do evropského parlamentu,65,432,15.05%,4.4
vzácná 10 kč 1993,65,253,25.69%,3.3
lucie šafářová,64,"1,843",3.47%,2.2
mol cup,64,"1,183",5.41%,4.5
vadna desetikoruna,63,628,10.03%,5.7
,"58,499","1,557,723",3.76%,5.8

Week Index,Clicks
0000,"48,133"
0001,"10,366"
,"58,499"
